date,cbsa_code,city_description,population,actual_murder,actual_all_crimes,actual_index_violent
2015-12-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2425547,8,8574.0,8.450980392156863
2015-12-01,17900,"Columbia, SC Metro Area",811574,5,3471.0,5.064102564102564
2015-12-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7094003,25,23013.0,12.25
2015-12-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2111967,19,8592.0,122.08333333333333
2015-12-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1828218,13,7649.0,8.398148148148149
2015-12-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2383541,112,98245.0,139.90123456790124
2015-12-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4585968,18,16403.0,34.75
2015-12-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4491497,40,14889.0,17.963414634146343
2015-12-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2968747,88,99883.0,106.8452380952381
2016-01-01,12420,"Austin-Round Rock, TX Metro Area",2057443,1,6905.0,13.119047619047619
2016-01-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2474170,12,8376.0,7.980392156862745
2016-01-01,17900,"Columbia, SC Metro Area",821158,4,3412.0,5.243589743589744
2016-01-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7211508,27,22682.0,13.31547619047619
2016-01-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2155946,15,8759.0,115.33333333333333
2016-01-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1867746,9,6951.0,7.555555555555555
2016-01-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2446851,0,0.0,0.0
2016-01-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4677382,28,16595.0,39.775
2016-01-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4511762,20,14637.0,17.402439024390244
2016-01-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",3025461,0,0.0,0.0
2016-02-01,12420,"Austin-Round Rock, TX Metro Area",2057443,1,6068.0,10.428571428571429
2016-02-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2474170,10,7592.0,6.382352941176471
